,Date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,current_ventilator_patients,Date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered
107,2021-01-27,AR,328,413961,0,43,73541,0,0,2021-01-27,AR,557,39246,853,7896,1410,47142
108,2021-01-27,AR,262,421663,0,25,74459,0,0,2021-01-27,AR,9720,5428856,18189,4640500,27909,10069356
109,2021-01-27,AR,262,421663,0,25,74459,0,0,2021-01-27,AR,4955,5249159,10174,4244260,15129,9493419
110,2021-01-27,AR,262,421663,0,25,74459,0,0,2021-01-27,AR,33435,4859247,13441,3713918,46876,8573165
111,2021-01-27,AR,262,421663,0,25,74459,0,0,2021-01-27,AR,7475,4237360,32112,3153091,39587,7390451
112,2021-01-27,AR,262,421663,0,25,74459,0,0,2021-01-27,AR,11027,4014991,54610,2044934,65637,6059925
113,2021-01-27,AR,262,421663,0,25,74459,0,0,2021-01-27,AR,29746,3529582,33243,926087,62989,4455669
114,2021-01-27,AR,262,421663,0,25,74459,0,0,2021-01-27,AR,20902,2346737,2904,584528,23806,2931265
115,2021-01-27,AR,262,421663,0,25,74459,0,0,2021-01-27,AR,11545,1326469,10742,380910,22287,1707379
116,2021-01-27,AR,262,421663,0,25,74459,0,0,2021-01-27,AR,21410,988431,740,129174,22150,1117605
117,2021-01-27,AR,262,421663,0,25,74459,0,0,2021-01-27,AR,8064,435557,454,96544,8518,532101
118,2021-01-27,AR,262,421663,0,25,74459,0,0,2021-01-27,AR,2054,132951,280,42911,2334,175862
119,2021-01-27,AR,262,421663,0,25,74459,0,0,2021-01-27,AR,557,39246,853,7896,1410,47142
120,2021-01-27,AR,198,428687,0,22,75338,0,0,2021-01-27,AR,9720,5428856,18189,4640500,27909,10069356
121,2021-01-27,AR,198,428687,0,22,75338,0,0,2021-01-27,AR,4955,5249159,10174,4244260,15129,9493419
122,2021-01-27,AR,198,428687,0,22,75338,0,0,2021-01-27,AR,33435,4859247,13441,3713918,46876,8573165
123,2021-01-27,AR,198,428687,0,22,75338,0,0,2021-01-27,AR,7475,4237360,32112,3153091,39587,7390451
124,2021-01-27,AR,198,428687,0,22,75338,0,0,2021-01-27,AR,11027,4014991,54610,2044934,65637,6059925
125,2021-01-27,AR,198,428687,0,22,75338,0,0,2021-01-27,AR,29746,3529582,33243,926087,62989,4455669
126,2021-01-27,AR,198,428687,0,22,75338,0,0,2021-01-27,AR,20902,2346737,2904,584528,23806,2931265
127,2021-01-27,AR,198,428687,0,22,75338,0,0,2021-01-27,AR,11545,1326469,10742,380910,22287,1707379
128,2021-01-27,AR,198,428687,0,22,75338,0,0,2021-01-27,AR,21410,988431,740,129174,22150,1117605
129,2021-01-27,AR,198,428687,0,22,75338,0,0,2021-01-27,AR,8064,435557,454,96544,8518,532101
130,2021-01-27,AR,198,428687,0,22,75338,0,0,2021-01-27,AR,2054,132951,280,42911,2334,175862
131,2021-01-27,AR,198,428687,0,22,75338,0,0,2021-01-27,AR,557,39246,853,7896,1410,47142
132,2021-01-27,AR,359,435445,0,60,76343,0,0,2021-01-27,AR,9720,5428856,18189,4640500,27909,10069356
133,2021-01-27,AR,359,435445,0,60,76343,0,0,2021-01-27,AR,4955,5249159,10174,4244260,15129,9493419
134,2021-01-27,AR,359,435445,0,60,76343,0,0,2021-01-27,AR,33435,4859247,13441,3713918,46876,8573165
135,2021-01-27,AR,359,435445,0,60,76343,0,0,2021-01-27,AR,7475,4237360,32112,3153091,39587,7390451
136,2021-01-27,AR,359,435445,0,60,76343,0,0,2021-01-27,AR,11027,4014991,54610,2044934,65637,6059925
137,2021-01-27,AR,359,435445,0,60,76343,0,0,2021-01-27,AR,29746,3529582,33243,926087,62989,4455669
138,2021-01-27,AR,359,435445,0,60,76343,0,0,2021-01-27,AR,20902,2346737,2904,584528,23806,2931265
139,2021-01-27,AR,359,435445,0,60,76343,0,0,2021-01-27,AR,11545,1326469,10742,380910,22287,1707379
140,2021-01-27,AR,359,435445,0,60,76343,0,0,2021-01-27,AR,21410,988431,740,129174,22150,1117605
141,2021-01-27,AR,359,435445,0,60,76343,0,0,2021-01-27,AR,8064,435557,454,96544,8518,532101
142,2021-01-27,AR,359,435445,0,60,76343,0,0,2021-01-27,AR,2054,132951,280,42911,2334,175862
143,2021-01-27,AR,359,435445,0,60,76343,0,0,2021-01-27,AR,557,39246,853,7896,1410,47142
144,2021-01-18,AR,556,243801,0,95,39171,0,0,2021-01-18,AR,3064,5389375,7814,4559723,10878,9949098
145,2021-01-18,AR,556,243801,0,95,39171,0,0,2021-01-18,AR,8941,5188863,28298,4076676,37239,9265539
146,2021-01-18,AR,556,243801,0,95,39171,0,0,2021-01-18,AR,41165,4539103,16980,3586738,58145,8125841
147,2021-01-18,AR,556,243801,0,95,39171,0,0,2021-01-18,AR,4976,4166116,28539,2912712,33515,7078828
148,2021-01-18,AR,556,243801,0,95,39171,0,0,2021-01-18,AR,14791,3905617,46561,1657862,61352,5563479
149,2021-01-18,AR,556,243801,0,95,39171,0,0,2021-01-18,AR,18693,3201838,5141,785026,23834,3986864
150,2021-01-18,AR,556,243801,0,95,39171,0,0,2021-01-18,AR,50487,2074010,6549,539661,57036,2613671
