,Date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,current_ventilator_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
153,2021-04-16,AR,1026,290863,0,196,48576,0,0,16979,816464,1218,116960,18197,933424,27653,351,0,78615,2734491,63133,0,8696188
154,2021-05-04,AR,846,307201,0,175,52128,0,0,18328,1074590,13295,167166,31623,1241756,25427,419,0,67330,3127703,70924,0,9745689
155,2021-08-02,AR,778,389564,0,126,69691,0,0,25296,3681724,34579,1083499,59875,4765223,15558,187,0,74004,5008801,110268,0,15177816
156,2021-12-30,AR,336,436545,0,61,76517,0,0,8293,5457136,13452,4686940,21745,10144076,63734,45,0,162734,5718446,117574,0,21279751
157,2021-02-20,AR,334,259692,0,74,42408,0,0,4286,75619,196,38073,4482,113692,4883,115,0,33097,2091940,54467,0,6287427
158,2021-10-25,AR,282,421108,0,39,74400,0,0,35599,4788104,16951,3678984,52550,8467088,1416,13,0,39456,5302796,116574,0,18761454
159,2021-10-31,AR,197,422609,0,15,74560,0,0,16807,4946318,3473,3752721,20280,8699039,533,9,0,13693,5309442,116643,0,18940859
160,2021-01-09,AR,553,238578,0,97,38212,0,0,1420,18628,0,5,1420,18633,9959,158,0,37055,1755585,47773,0,4652529
161,2021-11-08,AR,281,424464,0,33,74789,0,0,15676,5089863,12264,3876309,27940,8966172,1332,8,0,30700,5318475,116711,0,19166545
162,2021-04-13,AR,966,287895,0,198,48015,0,0,22969,757905,3399,110968,26368,868873,27682,300,0,73292,2653204,62185,0,8470982
163,2021-04-17,AR,846,291709,0,185,48761,0,0,5860,822324,752,117712,6612,940036,18286,352,0,52457,2752777,63485,0,8748645
164,2021-05-23,AR,942,326524,0,213,56455,0,0,2980,1286592,3437,354446,6417,1641038,15152,559,0,33577,3626791,80131,0,10958710
165,2021-10-03,AR,262,415518,0,26,73731,0,0,2941,4278045,12967,3328046,15908,7606091,332,13,0,15203,5282219,116259,0,18076564
166,2021-10-24,AR,199,420826,0,20,74361,0,0,16637,4752505,3302,3662033,19939,8414538,505,8,0,15203,5301380,116561,0,18721998
167,2021-12-11,AR,175,431754,0,19,75737,0,0,3972,5349370,8244,4468775,12216,9818145,2561,22,0,23225,5378249,117141,0,20072139
168,2021-01-01,AR,450,233586,0,87,37363,0,0,15,6015,0,0,15,6015,2684,140,0,8171,1662780,46522,0,4338508
169,2021-03-08,AR,495,266836,0,100,43706,0,0,13904,211836,326,50760,14230,262596,7188,121,0,34791,2188491,56412,0,6820646
170,2021-04-06,AR,804,282223,0,154,46852,0,0,25502,592945,1219,101854,26721,694799,25198,211,0,76893,2490285,60470,0,8005308
171,2021-10-21,AR,254,420191,0,33,74279,0,0,39442,4665470,18505,3634073,57947,8299543,1343,19,0,37092,5298807,116531,0,18648527
172,2021-12-13,AR,263,432211,0,39,75802,0,0,7128,5358310,16603,4490217,23731,9848527,4501,13,0,38334,5384458,117177,0,20127135
173,2021-01-26,AR,606,248250,0,130,40105,0,0,717,38689,1069,7043,1786,45732,10304,191,0,40841,1923454,50825,0,5323804
174,2021-01-30,AR,391,250250,0,76,40510,0,0,20,39692,1148,14196,1168,53888,6380,167,0,36199,1957697,51501,0,5484406
175,2021-02-08,AR,513,254531,0,89,41392,0,0,2262,48282,1043,29082,3305,77364,7379,120,0,41698,2019553,52881,0,5828856
176,2021-02-09,AR,517,255048,0,74,41466,0,0,2022,50304,805,29887,2827,80191,7758,138,0,43291,2027311,53019,0,5872147
177,2021-05-06,AR,902,309072,0,215,52573,0,0,20057,1117187,9225,187382,29282,1304569,22491,461,0,61794,3175593,71809,0,9873776
178,2021-09-07,AR,392,407545,0,65,72728,0,0,7631,4105005,57703,2526965,65334,6631970,3060,63,0,50486,5243627,115187,0,17125899
179,2021-09-24,AR,227,413199,0,25,73444,0,0,10093,4223779,26751,3097792,36844,7321571,1363,31,0,38472,5273225,116047,0,17799471
180,2021-12-03,AR,190,430059,0,18,75518,0,0,9468,5301432,18076,4358185,27544,9659617,2227,17,0,28357,5358246,117015,0,19849830
181,2021-02-11,AR,443,255973,0,94,41666,0,0,603,52477,1925,32493,2528,84970,7165,125,0,40901,2041594,53300,0,5956369
182,2021-03-23,AR,589,274037,0,97,45124,0,0,13416,396581,1785,92119,15201,488700,10720,139,0,44502,2298914,58255,0,7355510
183,2021-06-09,AR,1163,346639,0,265,60902,0,0,48426,1798744,3049,461751,51475,2260495,28029,586,0,73038,4130743,90501,0,12143328
184,2021-06-14,AR,1053,351634,0,214,62024,0,0,22733,1933109,12579,501646,35312,2434755,29138,587,0,74951,4238994,93362,0,12436406
